tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
1,1,0,0,1,1,2,5,27.0,0,28
1,2,1,0,1,1,2,4,31.0,1,28
1,0,1,1,1,0,3,5,36.0,1,29
1,2,0,1,1,1,3,10,22.0,1,29
1,2,1,0,1,1,3,8,36.0,0,29
1,2,1,0,0,1,1,3,38.0,0,29
0,2,1,1,1,1,3,2,40.0,1,29
1,0,0,0,0,1,3,10,35.0,1,29
1,0,0,0,0,1,3,3,22.0,0,29
0,2,0,0,0,1,3,9,28.0,1,29
1,0,1,0,1,1,2,8,21.0,1,8
0,0,0,0,0,1,0,7,35.0,0,28
1,1,1,0,0,1,2,3,22.0,1,28
0,0,1,1,1,1,3,10,37.0,0,29
1,1,1,1,1,1,3,5,25.0,1,28
1,1,1,0,0,1,0,5,40.0,1,3
0,2,0,0,0,1,3,8,66.0,0,29
0,2,1,0,1,1,3,4,31.0,0,29
0,2,2,0,0,1,3,9,32.0,1,3
1,2,1,0,0,1,3,7,30.0,0,29
1,2,1,1,0,1,3,10,31.0,1,29
0,1,0,0,0,1,3,10,28.0,0,29
1,2,1,0,1,1,3,8,25.0,1,29
0,2,2,0,0,1,3,7,35.0,1,29
1,2,0,1,0,1,2,8,40.0,1,29
0,0,0,1,1,0,3,6,32.0,1,29
0,0,0,0,0,1,1,1,39.0,1,29
1,2,0,0,1,1,3,4,33.0,1,29
1,2,2,0,1,1,2,8,40.0,1,29
1,2,0,1,1,1,3,7,42.0,1,29
0,0,0,1,0,1,3,6,32.0,1,29
0,2,2,1,1,1,3,9,27.0,0,29
0,0,1,0,0,1,3,10,39.0,1,29
1,2,0,0,1,1,3,10,42.0,0,29
1,2,1,1,0,1,3,10,37.0,2,3
0,0,0,1,0,1,3,6,38.0,0,29
1,0,0,0,0,1,0,6,47.0,1,28
1,0,2,0,0,1,3,5,64.0,1,28
1,2,0,0,0,1,1,5,37.0,1,28
1,2,2,1,1,1,3,9,30.0,0,28
0,0,1,0,0,1,1,7,25.0,1,28
1,1,2,0,0,1,3,1,25.0,0,28
0,2,2,1,1,1,3,4,44.0,0,29
1,2,1,1,1,1,3,10,26.0,0,24
1,0,0,0,0,0,1,3,35.0,0,29
1,2,1,0,1,1,1,6,45.0,1,29
1,0,1,0,0,0,1,4,23.0,1,29
0,2,0,0,0,1,0,5,44.0,1,29
0,2,2,0,1,1,2,5,38.0,1,29
0,2,2,1,0,1,1,8,46.0,1,29
0,2,0,1,0,1,3,5,27.0,2,29
0,2,2,1,1,1,3,7,39.0,0,29
1,0,1,0,0,1,2,2,33.0,0,29
0,1,1,0,0,1,1,2,35.0,1,28
1,2,1,1,0,1,3,5,26.0,0,29
1,2,0,0,0,1,3,8,50.0,1,29
1,0,0,0,0,1,3,10,31.0,1,29
1,2,1,0,0,1,3,7,30.0,1,29
1,2,0,0,0,1,3,7,30.0,1,29
1,1,1,1,1,1,3,7,34.0,1,8
1,2,2,1,0,1,3,8,24.0,0,29
1,2,0,1,1,1,0,1,23.0,1,3
1,2,1,0,1,1,3,4,31.0,0,29
1,2,0,1,1,1,3,6,27.0,0,29
0,2,2,0,0,1,1,8,52.0,0,29
1,1,0,0,0,1,2,0,37.0,1,29
0,1,2,0,0,1,1,5,37.0,1,3
0,2,1,0,0,1,3,10,38.0,1,29
1,2,0,1,1,1,3,8,34.0,1,29
1,2,2,0,0,1,1,3,38.0,0,8
1,0,0,0,0,1,2,8,30.0,1,29
0,2,0,0,0,1,2,10,52.0,1,29
1,0,1,0,0,1,0,0,26.0,0,28
1,2,1,1,1,1,3,8,44.0,1,29
0,2,1,0,0,1,2,5,30.0,1,29
1,2,2,1,0,1,3,8,27.0,0,29
1,2,2,1,1,1,3,4,39.0,1,29
1,2,1,1,1,1,1,6,40.0,0,29
1,2,2,0,1,1,2,8,36.0,0,29
1,2,2,0,0,1,0,7,43.0,1,29
1,2,2,1,1,1,3,3,38.0,1,29
1,0,1,0,0,0,1,6,42.0,1,29
1,1,2,1,1,1,3,7,46.0,1,28
0,1,1,0,1,1,3,10,25.0,1,28
1,2,2,0,0,1,0,7,28.0,2,3
1,2,1,0,1,1,2,8,24.0,0,8
1,0,1,0,0,1,1,6,26.0,1,28
1,2,2,0,1,1,3,8,43.0,1,29
0,2,2,0,0,1,3,5,25.0,0,29
0,2,0,0,0,1,3,3,34.0,1,29
1,2,0,0,1,1,1,6,28.0,0,29
1,1,0,0,0,1,2,1,26.0,0,28
1,0,1,1,0,1,2,5,24.0,1,29
1,0,1,1,1,1,3,7,54.0,1,29
0,2,2,1,1,1,3,7,47.0,1,29
1,2,1,1,1,1,3,10,30.0,2,29
0,2,0,0,0,1,2,8,48.0,1,29
1,0,2,1,1,0,2,4,35.0,1,29
0,0,0,0,0,1,1,10,34.0,1,29
1,2,1,0,1,1,2,6,25.0,1,29
1,1,1,0,1,1,3,9,48.0,1,25
0,2,0,0,0,1,3,2,34.0,1,29
1,2,1,0,0,1,1,3,42.0,1,29
1,0,1,0,1,1,3,8,27.0,1,29
1,2,1,1,0,1,2,7,33.0,0,29
1,2,0,0,1,1,3,7,27.0,0,29
1,2,1,0,0,1,2,3,48.0,1,29
1,2,1,1,1,1,3,7,32.0,0,29
1,2,0,1,1,1,3,9,29.0,1,29
1,0,1,0,0,1,2,5,23.0,0,3
0,2,2,0,1,1,2,6,50.0,0,29
0,2,0,0,1,1,2,9,42.0,0,29
1,0,0,0,0,1,0,7,22.0,1,29
1,2,2,0,1,1,3,7,39.0,0,29
1,2,1,0,1,1,2,5,29.0,0,3
1,2,1,0,0,1,2,8,28.0,1,29
0,2,2,0,0,1,1,10,28.0,1,29
0,0,0,0,1,1,3,8,25.0,0,29
1,2,0,1,0,1,1,8,37.0,1,29
1,1,1,1,1,1,1,10,37.0,1,25
1,2,1,0,0,1,1,9,47.0,0,29
1,2,0,1,1,1,3,6,26.0,1,29
1,2,2,0,1,1,1,5,37.0,1,0
1,2,1,1,1,1,3,2,29.0,1,29
1,0,1,1,0,1,3,10,33.0,0,29
1,2,2,0,1,1,3,10,44.0,1,29
1,2,2,0,0,1,1,6,34.0,0,29
1,2,1,0,1,1,0,3,35.0,1,29
1,2,0,1,0,1,3,5,32.0,2,29
1,2,2,1,0,1,1,10,31.0,1,29
1,2,1,0,1,1,3,8,30.0,1,29
1,0,2,0,0,0,3,5,26.0,0,29
0,2,1,0,1,1,1,10,29.0,0,8
0,2,2,0,0,1,2,4,35.0,1,29
1,0,0,0,0,1,1,0,26.0,2,29
1,0,0,0,0,1,2,7,30.0,1,29
0,2,1,0,0,1,0,9,39.0,1,29
1,1,0,0,0,1,0,10,29.0,1,25
1,1,1,0,0,1,1,9,27.0,1,25
1,1,1,0,0,1,0,8,29.0,1,25
1,1,1,0,0,1,1,8,43.0,1,25
1,1,1,0,0,1,0,7,31.0,1,25
1,1,1,0,0,1,0,9,27.0,0,25
1,2,2,1,0,1,1,10,36.0,1,9
1,2,2,0,1,1,1,9,44.0,1,29
1,2,2,1,1,1,3,10,27.0,0,29
1,2,2,1,1,1,3,9,42.0,0,29
1,2,2,1,1,1,3,8,28.0,1,29
0,2,2,0,1,1,3,5,43.0,1,29
1,2,2,1,0,1,3,8,49.0,0,29
1,0,1,0,0,1,2,6,32.0,1,7
1,0,0,0,0,1,0,0,33.0,1,29
1,0,0,0,0,0,3,9,25.0,0,29
1,2,0,0,0,1,3,9,42.0,1,29
1,2,1,0,1,1,0,6,25.0,1,29
1,2,0,1,1,1,2,10,25.0,0,29
0,2,1,0,0,1,1,3,22.0,0,29
1,0,1,0,1,0,2,7,28.0,1,29
1,0,0,0,0,1,2,6,37.0,1,29
1,2,1,0,1,1,3,7,35.0,1,3
1,0,1,0,0,1,2,3,20.0,1,28
0,2,2,1,0,1,1,0,62.0,0,29
1,0,0,1,1,1,2,7,29.0,1,8
1,2,2,0,0,1,3,5,37.0,1,28
1,2,0,1,1,1,3,8,51.0,1,29
0,2,2,0,1,1,1,8,60.0,1,29
1,0,0,1,0,1,0,6,38.0,1,29
1,2,2,1,1,1,1,2,41.0,1,28
0,0,1,0,0,1,3,9,27.0,1,29
0,2,1,0,0,1,2,4,42.0,0,29
0,1,1,0,1,1,1,7,33.0,1,8
1,0,0,1,0,1,1,7,40.0,1,29
0,2,2,0,1,1,3,10,25.0,0,29
1,0,1,0,0,0,1,6,49.0,0,29
1,1,1,0,1,0,3,5,44.0,0,29
1,0,1,0,1,0,3,5,30.0,1,29
1,2,0,0,1,1,2,6,26.0,1,29
1,2,2,1,1,1,3,9,31.0,1,29
1,2,1,1,1,1,3,8,32.0,1,29
1,0,0,0,0,1,0,10,24.0,1,29
1,0,0,1,1,1,2,9,34.0,1,29
1,2,0,1,1,1,3,9,31.0,0,29
1,2,2,1,1,1,1,8,47.0,1,29
1,2,0,0,0,1,1,6,59.0,1,29
1,0,1,1,1,1,3,9,44.0,1,29
1,1,1,0,0,1,1,0,26.0,1,29
1,0,1,1,1,1,2,7,43.0,1,29
1,0,1,1,0,1,2,7,22.0,1,8
1,1,1,1,0,1,3,10,24.0,1,19
1,0,0,0,1,0,3,2,35.0,1,29
0,0,1,0,1,1,1,4,30.0,1,29
0,2,0,0,0,1,0,7,37.0,1,29
1,1,1,1,1,1,3,9,27.0,1,29
1,2,2,0,0,1,2,6,42.0,1,29
1,2,0,0,0,1,3,7,40.0,1,29
1,2,2,0,1,1,3,10,29.0,1,29
0,2,0,1,1,1,3,3,40.0,1,29
1,0,0,0,0,1,1,2,50.0,1,29
0,2,2,0,0,1,3,8,35.0,1,29
1,2,2,0,1,1,2,5,24.0,1,17
1,2,0,0,1,1,3,6,35.0,0,29
1,0,1,0,0,1,1,7,36.0,1,29
1,0,0,0,0,0,1,5,47.0,0,29
1,2,2,0,1,1,3,6,30.0,1,29
1,2,2,1,1,1,3,5,32.0,1,29
1,0,1,0,1,1,3,7,38.0,1,29
1,2,0,0,1,1,3,6,38.0,1,29
1,2,2,0,1,1,1,5,26.0,0,29
1,2,1,0,0,1,3,7,45.0,0,29
1,2,2,0,0,1,2,7,37.0,0,29
1,2,2,1,1,1,3,8,33.0,0,29
1,2,2,1,0,1,1,6,35.0,0,29
1,2,2,1,1,1,1,9,44.0,1,29
1,0,1,0,1,0,3,10,27.0,0,29
0,2,0,0,1,1,3,8,35.0,1,29
1,2,2,0,1,1,3,6,23.0,1,29
1,2,1,0,0,1,3,8,32.0,1,19
1,2,0,0,1,1,1,7,31.0,1,26
1,1,1,1,1,1,3,10,37.0,1,28
1,2,0,1,1,1,1,4,31.0,1,19
1,1,1,1,1,1,2,9,40.0,1,28
1,1,1,1,1,1,1,10,32.0,1,25
1,2,2,0,1,1,3,9,33.0,1,29
0,2,0,0,1,1,3,6,36.0,1,29
0,2,2,0,0,1,2,5,57.0,1,29
1,0,1,0,0,1,1,5,38.0,0,29
1,2,1,0,1,1,2,9,27.0,0,29
1,2,2,1,0,1,2,3,36.0,1,29
1,1,1,1,0,1,1,9,30.0,1,28
1,2,2,1,1,1,3,5,35.0,1,28
1,0,1,0,0,1,0,2,35.0,1,7
1,2,0,0,0,1,1,7,33.0,1,0
1,1,1,0,0,1,1,7,32.0,1,19
1,0,1,0,1,1,3,5,45.0,1,28
0,0,0,0,0,1,1,7,40.0,1,25
0,0,1,0,0,1,1,5,37.0,1,29
1,2,0,0,1,1,3,6,26.0,1,29
1,2,1,0,0,1,1,3,33.0,0,29
1,2,1,1,1,1,3,9,27.0,1,29
1,2,0,0,0,1,1,0,42.0,1,29
1,1,0,1,1,1,3,5,31.0,0,19
0,0,2,0,0,1,1,7,32.0,1,28
1,1,1,0,0,1,0,3,42.0,0,25
1,0,1,0,0,1,3,2,41.0,1,8
1,2,1,0,0,1,2,6,25.0,1,10
1,2,2,1,1,1,1,7,31.0,0,29
1,1,1,1,1,0,3,9,42.0,1,29
1,2,2,0,0,1,3,0,41.0,1,29
1,2,2,1,1,1,3,8,35.0,2,29
1,2,1,0,0,1,0,5,24.0,1,17
1,2,2,0,0,1,3,9,37.0,1,29
0,2,2,0,0,1,1,8,34.0,1,10
1,1,1,0,0,1,2,4,30.0,1,29
1,0,1,0,0,1,0,0,27.0,1,7
0,2,0,0,0,1,1,0,41.0,0,29
1,0,1,0,0,0,2,6,41.0,1,29
1,2,0,0,0,1,1,6,39.0,1,29
1,2,0,1,1,1,3,9,42.0,1,29
1,1,1,0,0,1,3,1,29.0,1,29
1,2,0,0,0,1,1,2,46.0,1,29
1,2,1,1,1,1,1,2,38.0,1,25
1,2,2,0,0,1,0,10,34.0,1,29
1,2,1,0,1,1,3,10,28.0,1,8
1,1,1,0,1,1,3,8,28.0,0,19
1,2,1,1,1,1,1,8,38.0,1,8
0,2,1,1,1,1,3,8,33.0,1,29
1,2,1,1,1,1,0,7,38.0,0,29
0,0,0,0,0,1,3,10,48.0,1,29
1,2,2,1,1,1,2,9,34.0,1,29
1,1,1,0,0,0,3,1,29.0,0,29
0,1,2,0,0,1,3,9,39.0,1,28
1,2,2,0,1,1,1,6,33.0,1,29
1,2,2,0,0,1,0,1,44.0,1,7
0,0,1,0,1,0,3,10,33.0,0,29
1,2,1,0,0,1,2,3,32.0,0,29
1,2,2,0,1,1,1,7,35.0,0,12
0,0,2,0,0,1,1,7,40.0,1,7
0,0,0,0,0,0,3,4,30.0,1,29
1,0,0,0,0,1,2,4,34.0,1,29
1,0,0,0,1,0,1,9,21.0,1,29
0,2,0,1,0,1,3,7,37.0,1,7
1,2,2,1,1,1,3,8,33.0,1,28
1,2,2,1,1,1,2,7,28.0,1,29
1,2,2,1,1,1,0,5,41.0,1,29
1,1,1,0,0,1,1,1,34.0,1,8
1,2,2,1,0,1,3,3,28.0,1,29
0,1,1,0,1,1,2,8,52.0,1,8
1,0,0,0,0,1,1,2,39.0,1,28
1,2,1,0,0,1,2,5,45.0,1,29
1,0,1,1,0,1,2,8,27.0,1,7
1,2,2,0,0,1,3,4,31.0,0,29
1,0,1,0,0,1,2,2,44.0,1,19
1,2,0,1,0,1,1,7,31.0,1,7
1,2,2,1,1,1,3,10,23.0,1,29
1,0,0,0,0,1,1,8,38.0,1,7
1,0,0,0,0,0,2,5,37.0,1,29
1,2,1,0,0,1,1,4,33.0,1,7
0,2,0,0,0,1,2,2,47.0,1,29
1,0,0,1,0,1,0,0,29.0,0,29
0,2,2,0,0,1,1,3,38.0,1,29
1,0,1,0,0,1,0,4,29.0,1,3
1,0,1,1,1,1,3,10,37.0,1,29
